Date,USFR,USFR_Volume,SGOV,SGOV_Volume,BIL,BIL_Volume,TFLO,TFLO_Volume,SHV,SHV_Volume,ICSH,ICSH_Volume
1/3/2023,50.27000046,12341200,100.1600037,1660100,91.48000336,12503100,50.40999985,1544300,109.9400024,6851200,50.04000092,897000
1/4/2023,50.25999832,7551700,100.1500015,908200,91.47000122,9074500,50.38999939,2416900,109.9499969,2463300,50.06000137,999700
1/5/2023,50.29999924,3591400,100.1900024,1809200,91.5,6454100,50.43000031,1377700,109.9700012,1940200,50.06000137,1091500
1/6/2023,50.29999924,2832900,100.2099991,1766200,91.48999786,4623500,50.40999985,1529300,109.9899979,2674900,50.11000061,663800
1/9/2023,50.29000092,4465800,100.2099991,9842300,91.51000214,9734500,50.43000031,2179900,110,2286300,50.11999893,980700
1/10/2023,50.31000137,2745600,100.2099991,2523900,91.5,5606700,50.43000031,1182700,109.9899979,4740500,50.13000107,1258500
1/11/2023,50.31000137,3143300,100.2099991,3007500,91.5,8601300,50.45000076,981100,110.0199966,2882800,50.13000107,5342200
1/12/2023,50.34000015,2552100,100.2799988,865400,91.56999969,8086900,50.47000122,886500,110.0800018,2648900,50.15999985,1776700
1/13/2023,50.34999847,2496400,100.2900009,1120200,91.58000183,5501700,50.49000168,1363900,110.0800018,1533700,50.15999985,1014400
1/17/2023,50.36999893,2118800,100.2799988,939800,91.58000183,9495400,50.49000168,1438100,110.1100006,3249400,50.18000031,1071800
1/18/2023,50.38000107,4384400,100.3099976,1381400,91.58999634,4944800,50.5,611400,110.1200027,1580300,50.20999908,1749700
1/19/2023,50.38999939,2622800,100.3300018,1467700,91.62999725,6491300,50.5,1512600,110.1500015,1771700,50.22999954,1006200
1/20/2023,50.38999939,2205100,100.3499985,1379900,91.63999939,4532400,50.52000046,960900,110.1699982,2654600,50.22999954,1104400
1/23/2023,50.40000153,2543400,100.3499985,2633000,91.63999939,9166400,50.52000046,894000,110.1699982,3023000,50.22999954,2491800
1/24/2023,50.40000153,2954500,100.3799973,1226600,91.65000153,5073700,50.54000092,1900300,110.1800003,1497000,50.22999954,1890800
1/25/2023,50.22000122,3873900,100.3899994,1176000,91.66000366,7570300,50.54000092,1048200,110.2200012,2348300,50.25,966300
1/26/2023,50.25999832,3418000,100.4199982,1151800,91.70999908,5116500,50.54999924,836800,110.25,2604100,50.25999832,981700
1/27/2023,50.25,3192600,100.4300003,2232000,91.72000122,5232100,50.56000137,1207000,110.2600021,2689600,50.25999832,1359900
1/30/2023,50.25999832,4793300,100.4599991,1174600,91.72000122,4281500,50.56000137,1288500,110.2699966,1537200,50.27999878,928000
1/31/2023,50.27999878,3116700,100.4599991,1421600,91.73000336,7362600,50.56000137,1438400,110.2799988,2320300,50.29000092,2011100
2/1/2023,50.27999878,4178100,100.0800018,1804300,91.40000153,9424000,50.40000153,1806500,109.9400024,3818200,50.11000061,2547200
2/2/2023,50.33000183,3545200,100.1299973,2411400,91.44000244,11984500,50.40000153,2805700,109.9800034,4260700,50.13000107,2590400
2/3/2023,50.31000137,10040500,100.1399994,1896400,91.45999908,8934700,50.43000031,2855200,109.9599991,3699000,50.11999893,1283000
2/6/2023,50.31999969,3958700,100.1399994,1695900,91.47000122,5928200,50.41999817,1908500,109.9599991,1435600,50.09999847,2368400
2/7/2023,50.33000183,3026200,100.1600037,1221700,91.48000336,4283200,50.43000031,1442200,109.9700012,4316700,50.11999893,1000100
2/8/2023,50.34000015,2868300,100.1699982,2473800,91.48000336,4101500,50.43999863,1356600,109.9899979,1427500,50.13000107,909400
2/9/2023,50.34000015,2299100,100.2099991,1081100,91.51000214,4909400,50.45000076,1004900,110.0299988,2605400,50.13000107,1385800
2/10/2023,50.34000015,3054800,100.2200012,1425500,91.51999664,4580800,50.47000122,1337700,110.0299988,3599200,50.13999939,605800
2/13/2023,50.36000061,2665400,100.2399979,2398700,91.54000092,8904000,50.47999954,1995000,110.0599976,4937000,50.15000153,1033500
2/14/2023,50.36000061,2410800,100.2300034,1309900,91.54000092,4056600,50.45999908,1104700,110.0599976,8360500,50.13000107,3590100
2/15/2023,50.36999893,2704700,100.2600021,1216900,91.55999756,4895700,50.47999954,1759700,110.0699997,5306700,50.13999939,1628100
2/16/2023,50.40999985,2987200,100.3000031,1744500,91.61000061,5556400,50.50999832,1393100,110.1200027,8161600,50.15999985,1211900
2/17/2023,50.40000153,2724200,100.3099976,1228600,91.62000275,4398600,50.52000046,1764300,110.1299973,3311200,50.18000031,787400
2/21/2023,50.40000153,3586600,100.3300018,2903100,91.62000275,17021300,50.52999878,2807800,110.1299973,15878000,50.16999817,1697800
2/22/2023,50.24000168,4652500,100.3499985,9440100,91.65000153,18697200,50.52000046,1282400,110.1600037,12698600,50.16999817,1014900
2/23/2023,50.27000046,3251900,100.3899994,1708000,91.68000031,4863200,50.54000092,891300,110.1999969,3282300,50.18999863,1660600
2/24/2023,50.27000046,3479600,100.4000015,2364400,91.69000244,7735500,50.54999924,1093800,110.2099991,3538200,50.18999863,957500
2/27/2023,50.27999878,2929400,100.4100037,1759100,91.69999695,7477400,50.56000137,1091500,110.2300034,4188100,50.20000076,1602300
2/28/2023,50.29000092,4064900,100.4300003,1561400,91.70999908,8086900,50.56000137,1588200,110.2300034,2279700,50.20000076,1485800
3/1/2023,50.29999924,7203400,100.1600037,2607600,91.45999908,11005600,50.40000153,3143500,109.9599991,4235800,50.04000092,1821200
3/2/2023,50.31999969,3877900,100.2099991,3157500,91.48999786,9631700,50.41999817,2519500,110.0100021,3645100,50.04000092,1300000
3/3/2023,50.31999969,3195700,100.2200012,2467400,91.51000214,7068300,50.43999863,1936800,110.0199966,2279200,50.06000137,1574000
3/6/2023,50.31000137,3731100,100.2099991,1563600,91.51999664,6131200,50.43000031,1547200,110.0299988,1892200,50.08000183,985700
3/7/2023,50.33000183,2825300,100.2399979,1258000,91.51999664,4330700,50.43999863,1961400,110.0100021,3041100,50.08000183,1436600
3/8/2023,50.34999847,4406800,100.25,1381400,91.54000092,8207000,50.45999908,1047000,110.0199966,2498100,50.06999969,746000
3/9/2023,50.36999893,3301700,100.2799988,3052300,91.55999756,6450500,50.47999954,1077500,110.0800018,2563000,50.09000015,737200
3/10/2023,50.38000107,5163600,100.3000031,3660800,91.58000183,13475700,50.49000168,1212500,110.1299973,3788700,50.13999939,1220200
3/13/2023,50.38999939,8736400,100.3300018,6303300,91.59999847,21685200,50.49000168,3336100,110.2600021,6610900,50.16999817,1675300
3/14/2023,50.38000107,4466900,100.3499985,2820100,91.61000061,35715200,50.49000168,1665600,110.1999969,22109100,50.15000153,935200
3/15/2023,50.38000107,5716200,100.3899994,4904300,91.66000366,11411700,50.5,2195200,110.3099976,5189900,50.16999817,1143200
3/16/2023,50.38000107,5417000,100.4100037,2073800,91.69999695,9320200,50.49000168,2173800,110.3000031,4020900,50.15000153,1066600
3/17/2023,50.38000107,3744500,100.4199982,3651500,91.72000122,8580300,50.50999832,1559300,110.3799973,2506000,50.20999908,1325000
3/20/2023,50.36999893,3652200,100.4300003,2371500,91.73000336,8169600,50.5,1570800,110.3600006,3548000,50.20000076,787000
3/21/2023,50.38000107,2807300,100.4599991,1727800,91.73000336,7888500,50.47999954,3874200,110.3300018,3497500,50.18999863,2056800
3/22/2023,50.38999939,3117700,100.4499969,2389900,91.75,8202600,50.52000046,1366500,110.3700027,1808600,50.22000122,618000
3/23/2023,50.40000153,2882700,100.4899979,2302600,91.79000092,5769500,50.50999832,3958400,110.4400024,2282000,50.27000046,864200
3/24/2023,50.40000153,4954100,100.5299988,3171100,91.80999756,7374800,50.54000092,1697500,110.4499969,3134300,50.25999832,4567600
3/27/2023,50.20999908,4722500,100.5100021,1457100,91.80000305,6188600,50.54000092,1534400,110.4499969,3964900,50.22000122,2178700
3/28/2023,50.22000122,4441900,100.5400009,1819600,91.81999969,6215000,50.54999924,1461900,110.4599991,4817700,50.20000076,1606600
3/29/2023,50.24000168,4557500,100.5500031,1724900,91.81999969,4705700,50.56999969,1721000,110.4700012,1990600,50.22000122,910000
3/30/2023,50.27999878,5248800,100.5699997,2052700,91.83999634,9284700,50.58000183,5282200,110.4899979,2791500,50.22999954,633800
3/31/2023,50.27000046,3216600,100.5800018,5189500,91.81999969,11615500,50.59000015,3393600,110.5,2600800,50.25,1022800
4/3/2023,50.29000092,7441900,100.2300034,3136300,91.47000122,12494900,50.41999817,1451000,110.0999985,4125500,50.09999847,1681000
4/4/2023,50.29000092,3007700,100.25,3701400,91.48000336,10265800,50.43000031,1262500,110.1399994,2714200,50.13000107,1134900
4/5/2023,50.31999969,3367100,100.2900009,2504500,91.52999878,6913900,50.45000076,1427800,110.1999969,4244900,50.18000031,2074700
4/6/2023,50.33000183,3986800,100.3199997,1478000,91.54000092,4941400,50.45000076,1057300,110.1999969,2210200,50.18999863,1054500
4/10/2023,50.33000183,3764100,100.3300018,3470600,91.55000305,5741900,50.45999908,3728700,110.1900024,3327100,50.15999985,1137300
4/11/2023,50.34000015,6888200,100.3300018,2727900,91.55999756,7722600,50.47000122,1424400,110.2099991,2700600,50.18000031,1189100
4/12/2023,50.34999847,3116200,100.3499985,10695300,91.58000183,8786200,50.47000122,1179300,110.2200012,1886100,50.18999863,773100
4/13/2023,50.36000061,2482500,100.4100037,1510900,91.62999725,8673900,50.50999832,1214900,110.2799988,2297000,50.20999908,671800
4/14/2023,50.38000107,3900200,100.4199982,1791500,91.62999725,9391100,50.50999832,1563100,110.2600021,1464500,50.20000076,526100
4/17/2023,50.38000107,3660200,100.4199982,1412000,91.65000153,5173800,50.52000046,1044800,110.2699966,1945200,50.18999863,544400
4/18/2023,50.38000107,3002900,100.4400024,1103200,91.66000366,4540700,50.52000046,941200,110.2900009,1819600,50.20000076,604200
4/19/2023,50.40999985,3151000,100.4700012,1948100,91.66999817,5901900,50.54000092,896100,110.3000031,1611900,50.20000076,592300
4/20/2023,50.43000031,3807300,100.5100021,1421500,91.73999786,6034400,50.54999924,1094900,110.3600006,1302900,50.22000122,736600
4/21/2023,50.43000031,3026500,100.5199966,1293100,91.73000336,5880900,50.56999969,1400000,110.3700027,1729200,50.22999954,564700
4/24/2023,50.22999954,3961300,100.5299988,1508900,91.73999786,8195900,50.56000137,976400,110.3799973,2170800,50.25,841300
4/25/2023,50.25,3133000,100.5299988,1922100,91.73000336,4222500,50.58000183,1093400,110.4100037,1895200,50.27999878,1107900
4/26/2023,50.27000046,2651600,100.5299988,1942700,91.75,7365200,50.58000183,921600,110.4199982,1949000,50.29999924,1340900
4/27/2023,50.29000092,2011500,100.5599976,2307900,91.77999878,5585400,50.61999893,1091600,110.4400024,2171600,50.29000092,476600
4/28/2023,50.31999969,4483300,100.5599976,2363900,91.77999878,6539100,50.63000107,1656500,110.4499969,2053700,50.31999969,1055100
5/1/2023,50.33000183,4029800,100.1800003,3549800,91.43000031,11273300,50.43999863,1463100,110.0400009,2047300,50.13999939,802300
5/2/2023,50.34000015,3873700,100.1999969,1648600,91.41000366,5495900,50.43999863,853300,110.0699997,1921300,50.20000076,907000
5/3/2023,50.34000015,2727200,100.1999969,1600900,91.41999817,5533100,50.45000076,1376300,110.0899963,2262400,50.20000076,909600
5/4/2023,50.36999893,4420600,100.25,4615700,91.44999695,8052700,50.47000122,1612700,110.1500015,3223000,50.20999908,890300
5/5/2023,50.38000107,5494700,100.2600021,2130900,91.47000122,7169200,50.47999954,1834900,110.1399994,2294100,50.20000076,504000
5/8/2023,50.38000107,2896400,100.2699966,2293300,91.48000336,5508600,50.49000168,837300,110.1500015,1908500,50.18999863,862800
5/9/2023,50.38999939,3706900,100.2799988,1693100,91.48999786,6850300,50.5,1213200,110.1500015,1490700,50.18999863,961000
5/10/2023,50.38999939,3213000,100.3000031,1603000,91.5,4831800,50.5,1476300,110.1900024,1791900,50.20999908,825800
5/11/2023,50.40999985,3278700,100.3600006,2600800,91.55999756,6159800,50.52000046,1616600,110.2300034,17218700,50.22999954,894400
5/12/2023,50.41999817,3633100,100.3799973,1784600,91.58000183,4324800,50.52999878,2247600,110.2300034,14740600,50.22000122,496400
5/15/2023,50.40999985,4375600,100.3700027,1435800,91.58999634,4056100,50.52000046,815400,110.2399979,3072800,50.22999954,905700
5/16/2023,50.41999817,3987600,100.4000015,1270500,91.58000183,8530400,50.54000092,1225400,110.2399979,3750900,50.22000122,1162700
5/17/2023,50.43000031,3436400,100.4100037,1095500,91.59999847,5415400,50.54999924,987500,110.2600021,2634100,50.22999954,540000
5/18/2023,50.45999908,3598400,100.4400024,1892500,91.65000153,6434000,50.56999969,1219600,110.2900009,1689800,50.22000122,1024700
5/19/2023,50.45000076,3856400,100.4499969,1325100,91.65000153,6438100,50.56999969,1274500,110.2900009,2004000,50.20999908,721800
5/22/2023,50.47000122,2761900,100.4599991,1356300,91.66000366,8404900,50.58000183,1089700,110.2900009,1988600,50.22999954,990900
5/23/2023,50.45999908,5182900,100.4800034,1877900,91.66000366,5050500,50.59000015,677800,110.3099976,5272200,50.25,500400
5/24/2023,50.24000168,6371000,100.4800034,2186900,91.66000366,4762100,50.58000183,1045000,110.3099976,2867900,50.24000168,797500
5/25/2023,50.29000092,4929000,100.5400009,2024700,91.72000122,5264000,50.61000061,1027200,110.3600006,2135900,50.22000122,1580900
5/26/2023,50.29000092,2896400,100.5699997,1473700,91.73999786,5923200,50.61999893,1369900,110.3799973,1506700,50.20000076,1146100
5/30/2023,50.29999924,5060600,100.5899963,2039800,91.75,11529300,50.65000153,877600,110.3899994,2987300,50.27000046,975300
5/31/2023,50.33000183,4618900,100.5899963,3443000,91.76999664,9807400,50.65000153,1112300,110.4100037,2382000,50.31000137,1136700
6/1/2023,50.34000015,6550700,100.2300034,3887000,91.44999695,10700500,50.45999908,2257300,110,3695100,50.13000107,1107500
6/2/2023,50.36000061,3409000,100.2300034,2530800,91.45999908,10254400,50.45999908,1984600,110.0100021,3733800,50.08000183,1583300
6/5/2023,50.36000061,3580000,100.25,2639000,91.45999908,9596600,50.47000122,1736600,110.0100021,2258200,50.11000061,1629300
6/6/2023,50.38000107,7852100,100.2799988,2431700,91.48000336,6120900,50.47999954,1426000,110.0299988,2077100,50.13999939,571700
6/7/2023,50.38000107,2678900,100.2900009,2451600,91.48999786,6483100,50.49000168,1398600,110.0500031,1587700,50.13999939,524600
6/8/2023,50.38999939,3087400,100.3300018,1433100,91.54000092,8802000,50.50999832,1019200,110.1200027,2594000,50.15999985,783800
6/9/2023,50.40999985,2263200,100.3399963,2619600,91.55000305,6452300,50.52999878,2125800,110.1200027,3590300,50.13999939,777900
6/12/2023,50.40999985,2213200,100.3600006,1647000,91.55999756,3776900,50.52000046,927400,110.1399994,2289000,50.15999985,759100
6/13/2023,50.40999985,3545100,100.3700027,2320600,91.58000183,6784200,50.52999878,1339900,110.1600037,2552400,50.16999817,661900
6/14/2023,50.40999985,2758800,100.3899994,1624100,91.59999847,5756300,50.54000092,946500,110.1699982,1831700,50.18000031,747800
6/15/2023,50.43000031,11465400,100.4400024,1901500,91.63999939,9827300,50.54999924,1222600,110.25,3645600,50.20000076,1197200
6/16/2023,50.43999863,4123400,100.4400024,2268200,91.65000153,4764900,50.56999969,904000,110.2600021,3496200,50.20000076,972200
6/20/2023,50.45000076,5576300,100.4700012,3109100,91.66999817,6174300,50.58000183,1032400,110.2600021,2003600,50.20000076,833900
6/21/2023,50.47000122,3207300,100.4800034,1798200,91.66999817,4945300,50.59000015,807300,110.2699966,2147100,50.24000168,543800
6/22/2023,50.49000168,3334000,100.5199966,1363200,91.70999908,4698400,50.61000061,760300,110.3099976,2202400,50.24000168,808100
6/23/2023,50.5,3879900,100.5400009,1187700,91.72000122,3846600,50.59999847,1294700,110.3199997,2325300,50.27000046,1153800
6/26/2023,50.29000092,4441100,100.5500031,2400900,91.73000336,7241300,50.61999893,1354900,110.3399963,2518900,50.27000046,542200
6/27/2023,50.29999924,3542500,100.5599976,1668000,91.75,5476300,50.63000107,1510600,110.3600006,2218500,50.27000046,690500
6/28/2023,50.29000092,2991500,100.5899963,2234700,91.76000214,4486800,50.63000107,1294200,110.3700027,4559800,50.29000092,529500
6/29/2023,50.31000137,2847400,100.6299973,2015600,91.79000092,5728000,50.65000153,938600,110.3899994,2981600,50.27999878,610000
6/30/2023,50.31999969,3409200,100.6299973,4401000,91.81999969,8046600,50.66999817,1272900,110.4499969,4592700,50.29999924,519600
7/3/2023,50.34000015,5354300,100.2600021,3589900,91.47000122,7158200,50.47000122,1294800,110.0100021,3995900,50.11000061,461600
7/5/2023,50.36000061,2455400,100.2699966,2078500,91.48000336,7981500,50.45999908,1191400,110.0299988,4003500,50.09999847,703200
7/6/2023,50.38999939,4385000,100.3099976,6204900,91.51000214,7570000,50.5,1160700,110.0899963,2023100,50.11000061,842800
7/7/2023,50.38999939,2812800,100.3199997,2016500,91.51999664,6484900,50.5,609700,110.0899963,2537000,50.13999939,765100
7/10/2023,50.38999939,3804400,100.3300018,2072800,91.54000092,4186000,50.50999832,857300,110.1100006,4577000,50.18000031,700400
7/11/2023,50.41999817,3405700,100.3399963,2155900,91.55000305,5569100,50.52999878,2255400,110.1100006,2289500,50.18999863,560200
7/12/2023,50.40000153,5251800,100.3600006,2323900,91.56999969,7188100,50.52000046,1470400,110.1399994,3731400,50.22999954,680300
7/13/2023,50.43000031,3605500,100.4000015,2442000,91.61000061,5902600,50.54999924,1578400,110.1999969,2262000,50.22999954,1227900
7/14/2023,50.43000031,3811100,100.4100037,4712200,91.62000275,6502400,50.56000137,1192900,110.2099991,5841200,50.22000122,727800
7/17/2023,50.45999908,2724300,100.4300003,1728200,91.62999725,3932600,50.56999969,923000,110.2200012,2055100,50.22999954,997700
7/18/2023,50.45000076,3763200,100.4400024,1863100,91.62999725,4791000,50.56999969,1244300,110.2300034,4510800,50.25,741600
7/19/2023,50.45999908,2881600,100.4599991,1467800,91.65000153,5132100,50.56999969,1018000,110.25,2542500,50.27000046,757900
7/20/2023,50.47999954,2701500,100.5,1409500,91.69999695,5047600,50.61000061,74721700,110.3000031,1943200,50.25,796400
7/21/2023,50.49000168,3226200,100.5100021,1448900,91.69999695,4086300,50.61999893,7991700,110.3099976,1897600,50.27000046,775200
7/24/2023,50.47999954,7643500,100.5299988,1536000,91.70999908,3752400,50.63000107,2647000,110.3199997,2149200,50.27999878,838100
7/25/2023,50.29000092,6799100,100.5400009,1282900,91.72000122,4170500,50.63000107,4950700,110.3300018,1580300,50.29000092,596900
7/26/2023,50.29999924,2796500,100.5599976,1641900,91.73000336,4700000,50.63000107,2136100,110.3499985,1419400,50.31000137,550800
7/27/2023,50.31000137,4929200,100.5999985,1512500,91.77999878,4727800,50.66999817,1666400,110.3899994,2167500,50.31000137,1048900
7/28/2023,50.31999969,3215800,100.6200027,1323400,91.79000092,3709200,50.66999817,2092800,110.4199982,1572900,50.34000015,668000
7/31/2023,50.34000015,2739800,100.6200027,3955300,91.80000305,6716600,50.66999817,2246700,110.4400024,2373400,50.34999847,699600
8/1/2023,50.34999847,4616400,100.1999969,4694200,91.43000031,13360200,50.52000046,6229900,109.9899979,3038700,50.13000107,569200
8/2/2023,50.36000061,3042400,100.2300034,2059600,91.44000244,8208300,50.52999878,2334900,110.0100021,2793000,50.13999939,1263300
8/3/2023,50.38000107,4875400,100.2600021,2615000,91.48000336,5681100,50.54000092,1709200,110.0500031,2999700,50.15000153,508300
8/4/2023,50.38000107,3286200,100.2799988,2244200,91.5,6191000,50.56000137,1751500,110.0800018,2447300,50.18000031,491000
8/7/2023,50.38999939,3064500,100.2900009,2017300,91.5,5978000,50.56000137,1713600,110.0800018,1724600,50.18999863,825500
8/8/2023,50.38999939,2605100,100.3000031,2138300,91.51999664,6517900,50.56000137,1506800,110.0999985,1641400,50.22000122,939100
8/9/2023,50.40999985,3293800,100.3300018,1914100,91.52999878,4293000,50.58000183,4082500,110.1100006,2524700,50.22999954,1007700
8/10/2023,50.43000031,2641400,100.3600006,3643500,91.58000183,5120600,50.59000015,1434300,110.1600037,1625600,50.22000122,2868200
8/11/2023,50.43000031,2368100,100.3700027,1931200,91.58999634,3667100,50.61000061,1605100,110.1800003,1362100,50.24000168,725200
